id,mol_dir_name,bmrbacc,sub_id,x_chem_shift,y_chem_shift,x_width,y_width,height,volume
28377,melibiose,bmse000233,9,68.546,3.972,2.339,5.128,98858120,757533000
28378,melibiose,bmse000233,10,73.671,3.963,2.327,3.957,184611200,2087274000
29761,ATP,bmse000006,3,89.362,6.125,2.33,5.998,246357200,2655729000
28379,melibiose,bmse000233,11,68.516,3.94,2.357,5.052,95598310,581017000
28380,melibiose,bmse000233,12,72.172,3.903,2.328,3.324,146786100,939449100
28381,melibiose,bmse000233,13,71.175,3.883,2.396,3.679,66556720,226983300
28382,melibiose,bmse000233,14,72.169,3.875,2.198,3.708,224513800,1792315000
28383,melibiose,bmse000233,15,71.17,3.829,2.366,3.44,207705200,1321296000
28384,melibiose,bmse000233,16,72.166,3.824,2.212,4.187,83166690,378132400
28385,melibiose,bmse000233,17,71.166,3.802,2.643,3.411,158236900,1098513000
28386,melibiose,bmse000233,18,68.517,3.771,2.371,3.123,126308300,539403400
28387,melibiose,bmse000233,19,68.523,3.742,2.44,3.208,95524700,433222700
28388,melibiose,bmse000233,20,63.8,3.742,2.287,3.37,428258700,3189695000
28389,melibiose,bmse000233,21,73.665,3.736,2.917,2.398,64408630,118102000
28390,melibiose,bmse000233,22,63.8,3.732,2.175,12.398,371910900,4339726000
28391,melibiose,bmse000233,23,68.606,3.718,2.424,3.863,66621000,119986400
28392,melibiose,bmse000233,24,75.646,3.708,2.916,2.484,67200710,123588500
28393,melibiose,bmse000233,25,68.611,3.69,2.32,3.458,59837700,58966280
28394,melibiose,bmse000233,26,77.053,3.633,2.143,8.43,105873800,1025042000
28395,melibiose,bmse000233,27,74.119,3.55,2.344,3.555,72089610,184427400
28396,melibiose,bmse000233,28,74.124,3.524,2.363,3.963,61863190,60994990
28397,melibiose,bmse000233,29,72.167,3.507,2.764,4.427,121083700,1289570000
28398,melibiose,bmse000233,30,78.589,3.498,2.206,3.681,118573100,836534900
28399,melibiose,bmse000233,31,72.152,3.497,2.578,7.293,114567500,1635968000
28400,melibiose,bmse000233,32,78.591,3.481,2.233,3.06,116523800,762372000
28401,melibiose,bmse000233,33,76.741,3.269,2.456,3.553,75405220,255567400
28402,melibiose,bmse000233,34,76.752,3.25,2.593,2.875,141908800,745969000
28403,melibiose,bmse000233,35,76.752,3.229,2.536,3.124,73927100,370359300
28404,D_glucono_1_5_lactone,bmse000230,1,75.703,4.586,2.361,3.092,9572920,16975200
28405,D_glucono_1_5_lactone,bmse000230,2,75.228,4.586,2.229,3.458,8510521,8157328
28406,D_glucono_1_5_lactone,bmse000230,3,76.691,4.139,2.142,3.651,506540500,3439430000
28407,D_glucono_1_5_lactone,bmse000230,4,73.643,4.14,2.631,1.917,37187390,112821500
28408,D_glucono_1_5_lactone,bmse000230,5,62.871,4.131,2.333,4.577,8281432,16166410
28409,D_glucono_1_5_lactone,bmse000230,6,76.688,4.034,2.295,2.449,33571370,139830000
