formula,c_isotope,n_isotope,mass
"C32H36N4",13,15,512.389491559
"C23H29N3O2S",12,14,411.198047881
"C23H29N3O2S",13,14,434.27520915
"C23H29N3O2S",12,15,414.18915256
"C23H29N3O2S",13,15,437.26631383
"C5H7NO2",12,14,113.047678474
"C5H7NO2",13,14,118.064452663
"C5H7NO2",12,15,114.044713367
"C5H7NO2",13,15,119.061487556
"C5H7NO3",12,14,129.042593096
"C5H7NO3",13,14,134.059367285
"C5H7NO3",12,15,130.039627989
"C5H7NO3",13,15,135.056402178
"C18H22NO+",12,14,268.169590754
"C18H22NO+",13,14,286.229977834
"C18H22NO+",12,15,269.166625647
"C18H22NO+",13,15,287.227012727
"C70H104O32",12,14,1456.65107125
"C70H104O32",13,14,1526.88590989
"C70H104O32",12,15,1456.65107125
"C70H104O32",13,15,1526.88590989
"C5H7NO4",12,14,145.037507718
"C5H7NO4",13,14,150.054281907
"C5H7NO4",12,15,146.034542612
"C5H7NO4",13,15,151.0513168
"C5H7NO5",12,14,161.03242234
"C5H7NO5",13,14,166.049196529
"C5H7NO5",12,15,162.029457234
"C5H7NO5",13,15,167.046231423
"C10H16Br2N2O2",12,14,353.957852968
"C10H16Br2N2O2",13,14,363.991401346
"C10H16Br2N2O2",12,15,355.951922755
"C10H16Br2N2O2",13,15,365.985471133
"C10H16KNO9S2",12,14,396.990354398
"C10H16KNO9S2",13,14,407.023902776
"C10H16KNO9S2",12,15,397.987389291
"C10H16KNO9S2",13,15,408.020937669
"C15H22N2O17P2",12,14,564.039370312
"C15H22N2O17P2",13,14,579.089692879
"C15H22N2O17P2",12,15,566.033440099
"C15H22N2O17P2",13,15,581.083762666
"C7H7ClO2",12,14,158.013457179
"C7H7ClO2",13,14,165.036941043
"C7H7ClO2",12,15,158.013457179
"C7H7ClO2",13,15,165.036941043
"C17H18N2O2",12,14,282.136827832
"C17H18N2O2",13,14,299.193860075
"C17H18N2O2",12,15,284.130897619
"C17H18N2O2",13,15,301.187929861
"C21H41O7P",12,14,436.258990181
"C21H41O7P",13,14,457.329441775
"C21H41O7P",12,15,436.258990181
"C21H41O7P",13,15,457.329441775
"C17H18N2O5",12,14,330.121571699
"C17H18N2O5",13,14,347.178603941
"C17H18N2O5",12,15,332.115641485
"C17H18N2O5",13,15,349.172673728
"C19H36O2",12,14,296.2715304
"C19H36O2",13,14,315.335272318
"C19H36O2",12,15,296.2715304
"C19H36O2",13,15,315.335272318
"C27H34O10",12,14,518.215197312
"C27H34O10",13,14,545.305777933
"C27H34O10",12,15,518.215197312
"C27H34O10",13,15,545.305777933
"C16H14O3",12,14,254.094294316
"C16H14O3",13,14,270.14797172
"C16H14O3",12,15,254.094294316
"C16H14O3",13,15,270.14797172
"C17H18N2O6",12,14,346.116486321
"C17H18N2O6",13,14,363.173518563
"C17H18N2O6",12,15,348.110556107
"C17H18N2O6",13,15,365.16758835
"C53H86O21",12,14,1058.56615982
"C53H86O21",13,14,1111.74396623
"C53H86O21",12,15,1058.56615982
"C53H86O21",13,15,1111.74396623
"C27H34O11",12,14,534.210111934
"C27H34O11",13,14,561.300692555
"C27H34O11",12,15,534.210111934
"C27H34O11",13,15,561.300692555
"C16H14O4",12,14,270.089208938
"C16H14O4",13,14,286.142886343
"C16H14O4",12,15,270.089208938
"C16H14O4",13,15,286.142886343
"C27H34O12",12,14,550.205026557
"C27H34O12",13,14,577.295607177
"C27H34O12",12,15,550.205026557
